,Relaxed,Dizzy,Hungry,Euphoric,Happy,Depression,Insomnia,Pain,Stress,Cramps,Creative,Energetic,Talkative,Lack of Appetite,Nausea,Dry Mouth,Headache,Uplifted,Tingly,Paranoid,Sleepy,Fatigue,Headaches,Dry Eyes,Focused,Eye Pressure,Anxious,Giggly,Aroused,Inflammation,Spasticity,Seizures,Muscle Spasms
Q3,no,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no
Qleaner,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
Qrazy Train,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
Quantum Kush,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Quebec Gold,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no
Queen's Panties,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Querkle,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes
Queso,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no
Quin-N-Tonic,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
Qush,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
R-4,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Rainbow,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,yes
Rainbow Jones,yes,no,no,no,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no
Rare Dankness #1,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes
Rare Darkness,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Raskal OG,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no
Raspberry Cough,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Raspberry Kush,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Raw Diesel,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no
Ray Charles,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
Rebel Berry OG,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no
Reclining Buddha,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no
Recon,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,yes
Red Cherry Berry,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no
Red Congolese,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no
Red Diesel,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no
Red Dragon,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes
Red Dwarf,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no
Red Eye OG,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no
Red Haze,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
Red Headed Stranger,no,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
Red Poison,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Red Widow,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Redwood Kush,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
Remedy,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no
Rene,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no
Rene Mist,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no
Richie Rich,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no
Riddler OG,no,yes,no,no,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no
Ringo's Gift,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no
Rip City Purps,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes
Ripped Bubba,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
Rob Ford Kush,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Robert Plant,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no
Rockbud,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no
Rocklock,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
Rockstar,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no
Rockstar Kush,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no
Rockstar Master Kush,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no
Rocky Mountain Blueberry,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Rocky Mountain High,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no
Rollex OG Kush,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no
Rolls Choice,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no
Romping Goddess,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes
Romulan,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes
Romulan Grapefruit,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no
Romulan Haze,yes,no,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no
Root Beer Kush,yes,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no
Rose Bud,yes,no,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,yes,no,no,yes
Royal Chemdawg,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no
Royal Dwarf,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes
Royal Haze,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no
Royal Highness,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
Royal Kush,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes
Rubicon,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no
RudeBoi OG,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Rug Burn OG,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes
Russian Assassin,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no
Russian Rocket Fuel,yes,no,no,yes,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
SAGE,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes
SFV Dog,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes
SFV OG,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no
SFV OG Kush,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes
Sage N Sour,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no
Salmon River OG,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
Santa Maria,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes
Santa Sativa,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no
Sapphire Scout,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no
Sapphire Star,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no
Sasquatch Sap,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no
Satellite OG,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Satori,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
Saturn OG,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Savant's Grail,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no
Schrom,yes,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes
Scooby Snacks,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no
Scott's OG,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Scout's Honor,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no
Seattle Blue,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Seattle Cough,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no
Secret Garden OG,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Secret Recipe,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes
Sensi Skunk,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sensi Star,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Sequoia Strawberry,yes,no,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no
Serious 6,no,no,yes,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no
Sexxpot,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes
Shaman,yes,yes,no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no
Shangri-La,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no
Shark Attack,no,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no
Shark Bite,yes,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
Shark Shock,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,yes
Sharksbreath,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
Shiatsu Kush,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no
Shipwreck,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Shishkaberry,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no
Shiskaquine,yes,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
Shiva Skunk,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes
Shoreline,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes
Shurman #7,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sierra Mist,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no
Silver Back,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no
Silver Bubble,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no
Silver Haze,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no,no,no,yes
Silver Kush,yes,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no
Silver Pearl,no,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no
Silver Surfer,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no
Silver Train,no,no,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no
Silverback Gorilla,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes
Silverfalls Kush,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no
Silverhawks OG,no,no,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Sin City Kush,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes
Sin Valley OG,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no
SinMint Cookies,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
Sirius Black,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Six Shooter,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Skins Skunk,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes
Skunk 47,yes,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Skunk Dawg,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no
Skunk Haze,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes
Skunk No. 1,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Star Berry Indica,yes,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,no
Star Killer,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no
Star Master Kush,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no
Star Tonic,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no
StarBud,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes
Stardawg,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Stardawg Guava,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
Starfighter,yes,no,no,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no
Starry Night,no,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes
Stella Blue,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
Stephen Hawking Kush,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes
Stevie Wonder,no,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
Straight A's Haze,no,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no
Strawberry,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Strawberry Amnesia,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no
Strawberry Banana,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Strawberry Blondie,no,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no
Strawberry Blue,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no
Strawberry Cheesecake,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
Strawberry Cough,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Strawberry Diesel,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Strawberry Dream,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Strawberry Durban Diesel,no,no,no,no,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Strawberry Fields,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes
Strawberry Frost,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
Strawberry Ice,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no
Strawberry Kush,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Strawberry Lemonade,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no
Strawberry Mango Haze,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no
