,Relaxed,Dizzy,Hungry,Euphoric,Happy,Depression,Insomnia,Pain,Stress,Cramps,Creative,Energetic,Talkative,Lack of Appetite,Nausea,Dry Mouth,Headache,Uplifted,Tingly,Paranoid,Sleepy,Fatigue,Headaches,Dry Eyes,Focused,Eye Pressure,Anxious,Giggly,Aroused,Inflammation,Spasticity,Seizures,Muscle Spasms
Atmosphere,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Atomic Goat,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes
Atomic Northern Lights,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Atomical Haze,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no
Aurora Borealis,yes,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Aurora Indica,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,yes
Avalon,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no
Avi,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes
Avi-Dekel,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no
Azure Haze,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
B-52,yes,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
B-Witched,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes
B.B. King,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes
B4,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
BC Big Bud,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
BC Roadkill,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no
BC Sweet Tooth,yes,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no
BOG Bubble,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
BSC,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no
Bakerstreet,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no
Balmoral,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no
Banana Candy,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes
Banana Diesel,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
